compliance_case_id,complaint_type,regulatory_category,customer_id,received_date,source,assigned_owner,assigned_date,required_action_date,closed_date,status,investigation_notes,disposition,further_escalation_required
CMP-2025-0001,Compliance Concern,Privacy,C10238,2025-01-11,Customer Service,A. Patel,2025-01-12,2025-01-24,2025-01-27,Closed,Compliance review documented a privacy concern. Originating CS record referenced as CS 2025 00594.,Customer Remediation,No
CMP-2025-0002,Regulatory Complaint,Servicing / Collections,C10064,2025-08-15,Branch,J. Nguyen,2025-08-18,2025-08-28,,Open,Compliance review documented a servicing / collections concern.,,No
CMP-2025-0003,Regulatory Complaint,Other Regulatory,C10406,2025-03-05,Compliance Monitoring,M. Lewis,2025-03-08,2025-03-11,2025-04-05,Closed,Compliance review documented a other regulatory concern.,No Violation Identified,Yes
CMP-2025-0004,Regulatory Complaint,Privacy,C10175,2025-05-05,Customer Service,A. Patel,2025-05-05,2025-05-13,2025-06-06,Closed,Compliance review documented a privacy concern.,Referred for Further Review,Yes
CMP-2026-0005,Fair Lending Complaint,Fair Lending,C10094,2026-05-31,Other Department,M. Lewis,2026-06-01,2026-06-15,2026-06-17,Closed,Compliance review documented a fair lending concern.,No Violation Identified,No
CMP-2025-0006,Compliance Concern,Servicing / Collections,C10531,2025-07-15,Customer Service,M. Lewis,2025-07-15,2025-07-28,2025-08-23,Closed,Compliance review documented a servicing / collections concern.,Monitoring / Follow-up,No
CMP-2025-0007,Compliance Concern,Servicing / Collections,C10005,2025-05-14,Digital Monitoring,M. Lewis,2025-05-17,2025-05-25,2025-06-16,Closed,Compliance review documented a servicing / collections concern.,No Violation Identified,No
CMP-2026-0008,Fair Lending Complaint,Accessibility,C10213,2026-01-05,Compliance Monitoring,S. Carter,2026-01-05,2026-01-20,2026-02-06,Closed,Compliance review documented a accessibility concern.,Customer Remediation,No
CMP-2026-0009,Consumer Protection Concern,Accessibility,C10093,2026-03-24,Branch,M. Lewis,2026-03-26,2026-04-02,2026-04-30,Closed,Compliance review documented a accessibility concern.,No Violation Identified,No
CMP-2026-0010,Compliance Concern,Privacy,C10013,2026-04-16,Customer Service,M. Lewis,2026-04-19,2026-04-29,2026-04-30,Closed,Compliance review documented a privacy concern. Referred by Customer Service; originating complaint number was not documented.,No Violation Identified,Yes
CMP-2026-0011,Compliance Concern,Other Regulatory,C10330,2026-06-16,Customer Service,S. Carter,2026-06-18,2026-07-02,2026-07-13,Closed,Compliance review documented a other regulatory concern. Customer Service complaint CS-2025-00379 noted in referral.,Customer Remediation,No
CMP-2026-0012,Fair Lending Complaint,Servicing / Collections,,2026-04-22,Compliance Monitoring,A. Patel,2026-04-22,2026-04-26,2026-05-13,Closed,Compliance review documented a servicing / collections concern.,No Violation Identified,No
CMP-2026-0013,Compliance Concern,Servicing / Collections,C10156,2026-02-07,Direct Customer,S. Carter,2026-02-07,2026-02-17,,Open,Compliance review documented a servicing / collections concern.,,No
CMP-2025-0014,Consumer Protection Concern,Fair Treatment,C10416,2025-06-29,Customer Service,J. Nguyen,2025-07-01,2025-07-09,2025-07-10,Closed,Compliance review documented a fair treatment concern.,Monitoring / Follow-up,No
CMP-2025-0015,Fair Lending Complaint,Accessibility,C10129,2025-05-26,Compliance Monitoring,R. Kim,2025-05-26,2025-05-30,2025-06-16,Closed,Compliance review documented a accessibility concern.,No Violation Identified,No
CMP-2025-0016,Regulatory Complaint,Fair Lending,C10422,2025-02-28,Customer Service,R. Kim,2025-03-03,2025-03-21,2025-04-02,Closed,Compliance review documented a fair lending concern. Referred by Customer Service; originating complaint number was not documented.,Referred for Further Review,No
CMP-2025-0017,Fair Lending Complaint,Other Regulatory,C10550,2025-10-04,Customer Service,S. Carter,2025-10-05,2025-10-07,2025-10-23,Closed,Compliance review documented a other regulatory concern.,Monitoring / Follow-up,No
CMP-2025-0018,Fair Lending Complaint,Servicing / Collections,C10218,2025-09-21,Direct Customer,J. Nguyen,2025-09-24,2025-10-12,2025-10-26,Closed,Compliance review documented a servicing / collections concern.,No Violation Identified,No
CMP-2025-0019,Regulatory Complaint,Other Regulatory,C10098,2025-11-16,Compliance Monitoring,J. Nguyen,2025-11-17,2025-12-01,2025-12-22,Closed,Compliance review documented a other regulatory concern.,Corrective Action Taken,Yes
CMP-2026-0020,Fair Lending Complaint,Fees / Disclosures,,2026-01-10,Other Department,R. Kim,2026-01-10,2026-01-14,2026-01-18,Closed,Compliance review documented a fees / disclosures concern.,Customer Remediation,Yes
CMP-2025-0021,Fair Lending Complaint,Electronic Funds Transfer,,2025-09-05,Digital Monitoring,S. Carter,2025-09-07,2025-09-14,2025-10-12,Closed,Compliance review documented a electronic funds transfer concern.,Monitoring / Follow-up,No
CMP-2026-0022,Consumer Protection Concern,Fair Treatment,C10067,2026-01-15,Branch,S. Carter,2026-01-18,2026-01-28,2026-02-15,Closed,Compliance review documented a fair treatment concern.,No Violation Identified,No
CMP-2025-0023,Compliance Concern,Privacy,C10209,2025-09-04,Direct Customer,J. Nguyen,2025-09-06,2025-09-08,2025-09-10,Closed,Compliance review documented a privacy concern.,Customer Remediation,No
CMP-2026-0024,Compliance Concern,Other Regulatory,,2026-01-09,Digital Monitoring,S. Carter,2026-01-11,2026-01-22,2026-02-07,Closed,Compliance review documented a other regulatory concern.,No Violation Identified,Yes
CMP-2026-0025,Consumer Protection Concern,Fair Treatment,,2026-08-03,Digital Monitoring,S. Carter,2026-08-05,2026-08-07,,Open,Compliance review documented a fair treatment concern.,,No
CMP-2025-0026,Regulatory Complaint,Electronic Funds Transfer,C10222,2025-09-18,Branch,M. Lewis,2025-09-21,2025-09-29,,Open,Compliance review documented a electronic funds transfer concern.,,No
CMP-2025-0027,Consumer Protection Concern,Fair Treatment,,2025-04-22,Other Department,R. Kim,2025-04-22,2025-05-09,2025-06-02,Closed,Compliance review documented a fair treatment concern.,No Violation Identified,No
CMP-2025-0028,Compliance Concern,Privacy,C10394,2025-05-25,Digital Monitoring,A. Patel,2025-05-27,2025-06-12,,Open,Compliance review documented a privacy concern.,,No
CMP-2025-0029,Regulatory Complaint,Privacy,,2025-12-08,Customer Service,R. Kim,2025-12-08,2025-12-21,2025-12-23,Closed,Compliance review documented a privacy concern. Customer Service complaint CS-2025-00249 noted in referral.,Customer Remediation,No
CMP-2025-0030,Compliance Concern,Electronic Funds Transfer,C10581,2025-09-25,Branch,R. Kim,2025-09-28,2025-10-14,2025-11-09,Closed,Compliance review documented a electronic funds transfer concern.,No Violation Identified,Yes
CMP-2026-0031,Regulatory Complaint,Privacy,C10279,2026-05-06,Other Department,A. Patel,2026-05-07,2026-05-11,2026-05-22,Closed,Compliance review documented a privacy concern.,No Violation Identified,No
CMP-2026-0032,Consumer Protection Concern,Fair Treatment,C10208,2026-01-11,Branch,S. Carter,2026-01-13,2026-01-22,2026-01-28,Closed,Compliance review documented a fair treatment concern.,Monitoring / Follow-up,No
CMP-2025-0033,Fair Lending Complaint,Privacy,C10357,2025-12-21,Customer Service,M. Lewis,2025-12-21,2025-12-30,2026-01-23,Closed,Compliance review documented a privacy concern. Analyst noted CS ref 00321.,Referred for Further Review,No
CMP-2026-0034,Compliance Concern,Electronic Funds Transfer,C10228,2026-06-18,Other Department,M. Lewis,2026-06-20,2026-06-22,,Open,Compliance review documented a electronic funds transfer concern.,,No
CMP-2025-0035,Compliance Concern,Fair Lending,C10303,2025-03-19,Customer Service,R. Kim,2025-03-19,2025-04-06,2025-04-14,Closed,Compliance review documented a fair lending concern. Originating CS record referenced as CS 2026 00125.,Monitoring / Follow-up,No
CMP-2026-0036,Regulatory Complaint,Accessibility,C10301,2026-03-23,Customer Service,J. Nguyen,2026-03-25,2026-04-12,2026-04-29,Closed,Compliance review documented a accessibility concern. Originating CS record referenced as CS 2026 00369.,Referred for Further Review,No
CMP-2026-0037,Regulatory Complaint,Fees / Disclosures,C10202,2026-03-16,Customer Service,S. Carter,2026-03-17,2026-03-19,2026-04-13,Closed,Compliance review documented a fees / disclosures concern. Originating CS record referenced as CS 2026 00613.,Referred for Further Review,No
CMP-2026-0038,Compliance Concern,Fair Lending,C10455,2026-04-14,Direct Customer,S. Carter,2026-04-15,2026-04-17,2026-05-08,Closed,Compliance review documented a fair lending concern.,No Violation Identified,No
CMP-2026-0039,Compliance Concern,Fair Lending,,2026-03-29,Compliance Monitoring,R. Kim,2026-03-31,2026-04-16,2026-05-14,Closed,Compliance review documented a fair lending concern.,Monitoring / Follow-up,No
CMP-2025-0040,Consumer Protection Concern,Electronic Funds Transfer,C10448,2025-06-13,Other Department,S. Carter,2025-06-16,2025-06-22,,Open,Compliance review documented a electronic funds transfer concern.,,Yes
CMP-2025-0041,Consumer Protection Concern,Other Regulatory,C10366,2025-06-25,Branch,J. Nguyen,2025-06-27,2025-07-04,2025-07-29,Closed,Compliance review documented a other regulatory concern.,Referred for Further Review,No
CMP-2025-0042,Fair Lending Complaint,Electronic Funds Transfer,C10355,2025-07-16,Direct Customer,R. Kim,2025-07-16,2025-07-24,2025-08-14,Closed,Compliance review documented a electronic funds transfer concern.,Referred for Further Review,No
CMP-2026-0043,Regulatory Complaint,Other Regulatory,C10416,2026-04-13,Direct Customer,R. Kim,2026-04-16,2026-05-04,2026-05-05,Closed,Compliance review documented a other regulatory concern.,Monitoring / Follow-up,Yes
CMP-2026-0044,Consumer Protection Concern,Privacy,C10520,2026-07-05,Other Department,M. Lewis,2026-07-06,2026-07-09,2026-07-09,Closed,Compliance review documented a privacy concern.,No Violation Identified,No
CMP-2026-0045,Fair Lending Complaint,Electronic Funds Transfer,C10554,2026-05-11,Customer Service,J. Nguyen,2026-05-12,2026-05-20,,Open,Compliance review documented a electronic funds transfer concern. Analyst noted CS ref 00137.,,No
