complaint_id,received_date,resolved_date,customer_id,primary_category,complaint_notes,contact_channel,product_id,branch_id,status,escalation_target
CS-2025-00001,2025-06-06,2025-06-11,C10253,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Phone,P004,,Resolved,
CS-2025-00002,2025-07-06,2025-07-11,C10099,Cards,Issue reviewed with customer.,Phone,P008,,Resolved,
CS-2025-00003,2025-09-01,2025-09-07,C10146,Fees,Customer disputed a fee and requested review. Representative attempted to resolve the issue during the interaction.,Secure Message,P004,B004,Resolved,
CS-2025-00004,2025-02-19,,C10590,Fees,Customer called about concern.,Branch Referral,P008,B010,Open,
CS-2026-00005,2026-03-07,2026-03-08,C10457,Other,Issue reviewed with customer.,Phone,P001,,Resolved,
CS-2025-00006,2025-05-09,2025-05-22,C10292,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative attempted to resolve the issue during the interaction.,Secure Message,P003,,Resolved,
CS-2025-00007,2025-03-20,2025-03-26,C10550,Employee / Service,Issue reviewed with customer.,Phone,P007,B010,Resolved,
CS-2025-00008,2025-11-06,2025-11-24,C10093,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Email,P010,,Resolved,
CS-2025-00009,2025-09-12,,C10174,Cards,Customer reported a debit or credit card concern. Additional notes were entered for review.,Phone,P011,,Referred,Other Department
CS-2025-00010,2025-11-25,2025-12-14,C10140,Other,Customer described a concern that did not clearly fit an available category. Additional notes were entered for review.,Phone,,B004,Resolved,
CS-2026-00011,2026-02-10,2026-02-22,C10311,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative documented the issue for follow-up.,Branch Referral,P009,B007,Resolved,
CS-2026-00012,2026-07-01,,C10167,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative attempted to resolve the issue during the interaction.,Secure Message,P004,,Referred,Supervisor
CS-2026-00013,2026-03-08,2026-03-14,C10245,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Secure Message,P003,,Resolved,
CS-2026-00014,2026-03-02,2026-03-10,C10263,Online & Mobile Banking,Issue reviewed with customer.,Phone,P002,,Resolved,
CS-2026-00015,2026-01-25,2026-02-16,C10273,Other,Customer described a concern that did not clearly fit an available category. Additional notes were entered for review.,Email,P008,,Resolved,
CS-2025-00016,2025-07-25,2025-08-09,C10348,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative documented the issue for follow-up.,Phone,P006,B001,Resolved,
CS-2025-00017,2025-12-26,2026-01-04,C10349,Fees,Issue reviewed with customer.,Phone,,B003,Resolved,
CS-2026-00018,2026-07-17,2026-07-28,C10598,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Branch Referral,P006,B007,Resolved,
CS-2025-00019,2025-06-16,2025-06-19,C10363,Cards,Customer reported a debit or credit card concern. Customer provided additional context about the experience.,Other Department Referral,P011,,Resolved,
CS-2025-00020,2025-07-13,,C10402,Account Servicing,Customer expressed dissatisfaction with account servicing. Additional notes were entered for review.,Email,P001,,Open,
CS-2026-00021,2026-06-22,2026-07-11,C10460,Lending,Customer expressed dissatisfaction related to a lending product or process. Additional notes were entered for review.,Secure Message,P011,,Resolved,
CS-2026-00022,2026-05-12,2026-05-13,C10239,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Secure Message,P011,,Resolved,
CS-2025-00023,2025-12-18,2025-12-24,C10427,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Secure Message,P006,B008,Resolved,
CS-2026-00024,2026-03-01,2026-03-18,C10545,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative attempted to resolve the issue during the interaction.,Phone,P005,,Resolved,
CS-2026-00025,2026-05-04,2026-05-16,C10592,Fees,Customer disputed a fee and requested review. Representative documented the issue for follow-up.,Email,P001,,Resolved,
CS-2025-00026,2025-07-17,2025-08-08,C10281,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Branch Referral,P001,B010,Resolved,
CS-2025-00027,2025-07-27,,C10297,Employee / Service,Customer described dissatisfaction with an employee interaction or service experience. Representative documented the issue for follow-up.,Phone,P001,,Open,
CS-2026-00028,2026-04-27,2026-04-28,C10332,Account Servicing,Customer expressed dissatisfaction with account servicing. Representative attempted to resolve the issue during the interaction.,Secure Message,P009,B008,Resolved,
CS-2026-00029,2026-08-17,2026-08-21,C10395,Lending,Customer upset; follow-up requested.,Phone,,,Resolved,
CS-2025-00030,2025-10-27,2025-10-31,C10342,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Phone,P010,,Resolved,
CS-2025-00031,2025-11-15,2025-11-26,C10260,Lending,Customer expressed dissatisfaction related to a lending product or process. Customer provided additional context about the experience.,Phone,P011,,Resolved,
CS-2025-00032,2025-06-11,2025-06-26,C10566,Other,Customer described a concern that did not clearly fit an available category. Additional notes were entered for review.,Other Department Referral,P011,,Resolved,
CS-2026-00033,2026-05-09,,C10324,Other,Customer called about concern.,Phone,P002,,Open,
CS-2025-00034,2025-06-21,2025-06-21,C10474,Other,Customer described a concern that did not clearly fit an available category. Representative attempted to resolve the issue during the interaction.,Other Department Referral,P002,B010,Resolved,
CS-2026-00035,2026-04-02,2026-04-17,C10475,Fees,Customer disputed a fee and requested review. Additional notes were entered for review.,Branch Referral,,B007,Resolved,
CS-2025-00036,2025-09-26,2025-10-12,C10489,Fees,Customer disputed a fee and requested review. Customer provided additional context about the experience.,Phone,P008,,Resolved,
CS-2025-00037,2025-04-01,2025-04-01,C10555,Account Servicing,Issue reviewed with customer.,Phone,P010,,Resolved,
CS-2025-00038,2025-07-25,2025-08-01,C10295,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Representative documented the issue for follow-up.,Branch Referral,P003,B007,Resolved,
CS-2025-00039,2025-04-28,2025-05-05,C10178,Online & Mobile Banking,Customer reported difficulty with online or mobile banking. Additional notes were entered for review.,Secure Message,P004,,Resolved,
CS-2026-00040,2026-06-11,,C10314,Employee / Service,Issue reviewed with customer.,Phone,P008,,Open,
